customer,age,occupation,regionType,marriageStatus,children,income,numHandsets,handsetAge,smartPhone,currentHandsetPrice,creditRating,homeOwner,creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1029178,56.0,,,False,False,6.0,1,684.0,True,0.0,B,False,True,23.19,28.75,16.99,12.5,0.0,-0.235,-0.124,0.82,0.0,0.0,1.534,-5.80030031,2.0,23,0.0,0,0,0,False
1066490,58.0,professional,,True,False,6.0,1,345.0,True,0.0,C,False,True,193.27,1221.75,59.99,439.5,5.23,13.325,2.7308,395.82,68.0,15.33,2.8882392410000004,-3.1719973169999998,18.67,11,1.0,0,0,0,True
1050736,,,,,False,,1,493.0,True,0.0,G,True,False,52.66,399.25,37.09,0.0,0.97,-2.125,-0.9734,63.84,22.67,14.0,0.813333333,-7.493694065,3.67,17,3.33,0,0,0,False
1060762,26.0,,,False,False,4.0,3,122.0,True,79.99,B,True,True,70.52,391.5,59.99,0.0,2.05,-2.35,-0.2308,30.98,43.33,4.0,0.7329255859999999,-3.750550842,6.67,12,0.33,0,0,0,True
1084909,52.0,,suburban,True,False,9.0,1,256.0,True,0.0,E,False,True,64.48,1429.0,54.99,32.5,0.0,17.18,0.5698,313.6,75.67,25.67,0.876903804,9.809991621,10.0,8,6.33,0,0,0,True
1067246,,,suburban,,False,,1,385.0,True,0.0,C,True,False,50.24,378.25,59.99,0.0,0.0,1.175,-0.005,0.0,0.0,0.0,0.0,-7.373075747000001,0.0,13,0.0,0,0,0,True
1000959,40.0,,suburban,True,False,9.0,6,341.0,True,9.99,A,False,True,120.04,1285.25,84.99,163.75,0.0,-6.445,-0.836,257.34,154.67,51.0,4.08621992,-4.163124332,74.67,45,1.0,0,0,0,False
1032636,54.0,,suburban,True,False,9.0,1,626.0,False,0.0,B,False,True,30.26,305.25,30.0,0.75,0.0,0.275,0.0158,14.64,8.33,0.33,2.4148273909999998,1.419037307,10.0,21,5.33,0,0,0,True
1013822,32.0,,,True,False,8.0,2,335.0,True,79.99,A,False,True,32.18,222.0,39.99,2.0,0.0,-3.48,-0.0438,0.0,0.0,0.0,0.0,6.733635682,0.0,27,0.0,1,0,0,False
1039826,,,suburban,,False,,2,385.0,True,79.99,B,True,False,70.93,138.5,69.74,5.0,1.44,-0.95,0.1162,130.34,17.67,3.33,8.387222947,-5.314156946000001,2.0,22,0.0,0,0,0,False
